"marker","129S1/SvImJ","A/J","C57BL/6J","CAST/EiJ","NOD/ShiLtJ","NZO/HILtJ","PWK/PhJ","WSB/EiJ"
"backupJAX00444384",0.128,0.157,0.113,1.287,0.16,1.1955,1.3545,0.078
"backupJAX00445065",0.122,1.2535,0.082,0.115,1.163,1.3055,0.08,1.258
"backupJAX00447004",0.264,0.2865,0.714,0.148,0.665,0.769,0.1575,0.789
"backupJAX00447922",0.26,0.404,0.261,1.3545,0.305,0.3945,1.3805,1.281
"backupJAX00449948",0.8915,0.169,0.775,0.8255,0.736,0.2665,0.207,0.155
"backupJAX00449999",1.144,1.0955,0.066,1.1515,0.963,0.068,1.072,0.05
"backupJAX00461716",1.024,1.1445,0.015,0.0665,0.071,1.1505,0.026,1.162
"backupJAX00466928",0.998,0.0075,1.051,0.007,0.022,0.0105,0.011,1.071
"backupJAX00467217",1.3285,0.0555,0.045,1.468,0.05,0.0535,1.4485,1.352
"backupJAX00469786",1.4365,1.5265,1.391,0.056,1.857,1.462,0.0445,0.039
"backupJAX00470023",1.5525,1.608,1.461,0.112,2.016,1.6255,0.119,0.086
"backupJAX00470129",0.8825,0.128,0.924,0.923,0.855,0.981,0.13,0.124
"backupJAX00470445",1.0825,0.1325,1.02,0.3365,1.189,1.077,0.3065,0.103
"backupJAX00471123",1.0265,0.957,1.009,0.0225,0.892,0.9785,0.019,0.019
"backupJAX00471466",1.0225,1.042,0.942,0.013,1.053,1.053,0.0155,0.018
"backupJAX00472649",1.027,0.963,1.014,0.012,0.828,0.009,0.0105,1.071
"backupJAX00478436",1.4585,1.4995,0.023,0.026,1.758,0.029,0.0235,0.022
"backupJAX00478761",1.3965,0.028,1.417,0.01,0.02,0.027,1.6285,1.449
"backupJAX00481224",1.37,0.0165,0.014,1.4465,1.535,1.3895,0.023,1.343
"backupJAX00482470",1.2505,1.3805,1.249,0.023,0.16,1.417,0.023,1.288
"backupJAX00482585",0.0375,0.041,0.036,1.3555,0.03,0.0405,1.405,1.227
"backupJAX00483666",1.236,1.16,1.115,0.024,1.292,1.214,0.0295,0.027
"backupJAX00483912",0.012,0.017,0.011,0.8835,0.014,0.0155,0.858,0.887
"backupJAX00484170",1.598,1.5625,1.522,0.08,1.78,1.5795,0.0665,0.051
"backupJAX00484910",0.922,0.8385,0.895,0.009,0.665,0.891,0.019,0.009
"backupJAX00485143",1.111,1.0905,1.125,0.013,1.069,1.147,0.014,0.008
"backupJAX00493053",0.816,0.852,0.858,0.0025,0.725,0.8575,0,0
"backupJAX00494665",0.1,0.0785,0.087,1.0815,0.983,0.081,0.085,1.123
"backupJAX00503740",1.0725,1.1645,1.082,0.0095,1.213,1.114,0.0115,0.009
"backupJAX00504472",0.004,0.8125,0.821,0.0135,0.663,0.8465,0.0075,0.007
"backupJAX00504771",0.7795,0.74,0.764,0.047,0.49,0.7615,0.017,0.025
"backupJAX00506377",0.0495,1.376,0.058,1.418,1.446,0.061,0.0645,1.386
"backupJAX00506461",0.0135,0.7925,0.007,0.805,0.726,0.01,0.757,0.005
"backupJAX00506861",0.8635,0.017,0.876,0.924,0.926,0.017,0.952,0.015
"backupJAX00507052",0.0075,0.921,0.015,0.021,0.833,0.937,0.938,0.966
"backupJAX00510277",0.05,0.969,0.962,0.0645,0.07,0.993,1.109,0.996
"backupJAX00510901",0.011,0.013,0.008,1.383,0.009,0.016,1.3155,1.21
"backupJAX00513949",1.33,1.2435,1.21,0.043,1.268,1.283,0.045,0.044
"backupJAX00515140",0.55,0.588,0.705,0.019,0.308,0.02,0.019,0.725
"backupJAX00515325",0.0415,0.036,0.041,0.7965,0.017,0.036,0.779,0.884
"backupJAX00516508",0.0465,0.0415,0.037,1.424,0.043,0.037,1.445,1.242
"backupJAX00517811",0.0465,0.0445,0.04,0.0525,1.451,0.048,1.5485,1.394
"backupJAX00520333",1.431,1.4265,0.148,0.056,0.322,1.394,0.0825,1.41
"backupJAX00521241",0.998,0.993,0.995,0.0105,0.851,1.0095,0.008,0.007
"backupJAX00523300",1.2755,1.23,1.283,0.023,1.326,1.339,0.019,0.018
"backupJAX00527064",0.7885,0.0055,0.012,0.662,0.007,0.006,0.596,0.785
"backupJAX00537639",0.985,0.0055,0.007,1.003,0.999,0.006,1.0705,0.009
"backupJAX00539744",0.053,0.571,0.647,0.057,0.379,0.581,0.05,0.047
"backupJAX00541626",0.778,0.744,0.134,0.6655,0.102,0.7415,0.7295,0.075
"backupJAX00542382",0.061,1.3545,1.277,0.059,1.581,1.4,1.4795,0.06
"backupJAX00546689",1.4105,1.407,1.345,0.1995,1.391,1.388,0.0565,0.026
"backupJAX00547295",0.0455,0.0505,0.052,0.846,0.04,0.0545,0.7635,1.01
"backupJAX00547328",0.011,0.0125,0.015,0.791,0.008,0.0135,0.7625,0.914
"backupJAX00547361",1.0905,1.108,1.062,0.0205,1.143,1.042,0.021,0.02
"backupJAX00547413",0.8225,0.7825,0.783,0.0225,0.707,0.7925,0.022,0.018
"backupJAX00547742",0.7215,0.679,0.659,0.016,0.472,0.646,0.022,0.018
"backupJAX00550418",0.0105,0.7045,0.67,0.016,0.701,0.674,0.0175,0.647
"backupJAX00550998",0.0265,1.153,0.023,1.3335,0.026,0.0215,1.3535,0.013
"backupJAX00554030",0,0.8215,0.908,0,0.57,0.876,0.002,0
"backupJAX00554270",0.03,0.8915,0.904,0.878,0.028,0.895,0.0185,0.029
"backupJAX00555391",0.959,0.036,1.086,0.024,0.714,0.032,0.0345,1.054
"backupJAX00555853",1.132,0.064,1.124,1.236,1.184,1.1475,0.068,0.062
"backupJAX00563942",0.9525,1.007,0.989,0.0025,0.01,1.044,0.014,1.031
"backupJAX00574057",0.0035,0.0035,1.069,0.009,0.941,1.1195,0.0055,1.111
"backupJAX00574846",1.433,0.0655,0.053,1.23,0.057,0.0685,1.233,0.058
"backupJAX00574888",0.0175,0.883,0.949,0.0205,0.962,0.8955,0.022,0.902
"backupJAX00575134",1.038,0.0055,0.005,1.046,0.002,0.004,0.989,0
"backupJAX00577328",1.1135,0.046,1.235,1.196,0.024,0.0475,1.1845,1.199
"backupJAX00578831",0.0495,1.559,0.045,1.5305,1.766,0.0495,1.6145,0.04
"backupJAX00580345",1.3385,1.2675,1.253,0.0315,1.341,0.021,1.3425,0.02
"backupJAX00580448",1.127,1.0555,0.998,1.167,1.212,0.023,0.0245,0.021
"backupJAX00594370",0.953,1.003,1.027,0.105,0.92,0.097,0.102,0.088
"backupJAX00598096",1.3805,1.2915,1.216,0.029,1.429,0.0235,0.028,1.258
"backupJAX00598437",1.45,1.463,1.403,0.016,1.597,1.469,0.0135,0.013
"backupJAX00603371",0.0485,0.04,0.024,0.936,0.023,0.0455,0.913,0.952
"backupJAX00603740",0.0735,0.9795,1.059,0.067,0.733,1.005,0.0605,1.014
"backupJAX00604895",0.811,0.766,0.752,0.0645,0.041,0.76,0.0475,0.051
"backupJAX00605350",1.1105,0.0275,0.031,1.117,0.019,0.024,0.02,1.167
"backupJAX00607701",0.804,0.8635,0.891,0.2,0.663,0.851,0.1795,0.178
"backupJAX00608304",1.214,1.2755,1.196,0.0515,1.35,1.268,0.051,0.04
"backupJAX00609712",0.079,0.469,0.381,0.446,0.437,0.0835,0.103,0.081
"backupJAX00611376",0.0105,0.006,0.003,1.126,0,0.0055,1.198,1.187
"backupJAX00612125",0.904,0.8395,0.806,0.001,0.727,0.847,0,0
"backupJAX00612245",0.8805,0.899,0.931,0.114,0.775,0.94,0.1005,0.116
"backupJAX00612283",1.2,1.1255,1.149,0.0155,1.067,1.1895,0.011,0.015
"backupJAX00612315",0,0.0015,0,0.7365,0,5e-04,0.7115,0.809
"backupJAX00616476",0.008,0.008,1.114,1.2655,0.007,1.195,0.0285,0.01
"backupJAX00618058",0.0825,0.0885,0.083,1.2855,1.406,0.097,1.429,0.076
"backupJAX00619005",1.458,0.226,1.302,0.21,1.51,1.4065,0.178,1.356
"backupJAX00620688",0.074,0.0895,1.091,1.272,1.209,0.071,0.0195,0.017
"backupJAX00623680",0.0935,0.103,0.098,1.4325,0.084,0.1015,1.38,1.307
"backupJAX00629215",1.1225,1.178,1.148,0.0215,0.019,1.214,0.0255,1.16
"backupJAX00629546",1.33,1.443,1.304,0.03,1.421,1.3935,0.019,0.02
"backupJAX00630997",0.015,0.0165,0.013,1.209,0.017,0.0165,1.252,1.158
"backupJAX00633478",1.2895,1.254,1.161,0.005,1.418,1.2455,0.0085,0.007
"backupJAX00637977",1.454,1.434,1.378,0.0455,1.647,1.4155,0.0415,0.023
"backupJAX00639804",0.0225,0.868,0.851,0.014,0.731,0.8905,0.0155,0.872
"backupJAX00641188",0.9525,0.9385,0.919,0,0.763,0.9425,0,0
"backupJAX00641493",0.014,0.015,1.168,0.023,0.016,0.011,1.206,1.143
"backupJAX00642837",1.451,1.413,1.372,0.047,1.539,0.0495,0.0505,1.366
"backupJAX00646432",0.8175,0.7915,0.008,0.012,0.708,0.7685,0.7625,0.007
"backupJAX00647243",0.778,0.0035,0.831,0.776,0.008,0.792,0.7525,0.01
"backupJAX00654337",0.0565,1.0055,0.054,0.0585,0.836,0.043,0.0565,1.033
"backupJAX00655058",0.829,0.895,0.022,0.0235,0.025,0.8555,0.0295,0.822
"backupJAX00656281",1.4105,1.3835,1.455,0.0325,1.557,1.4315,0.0325,0.03
"backupJAX00657096",0.764,0.834,0.741,0.013,0.78,0.794,0.009,0.009
"backupJAX00657181",0.0115,0.012,0.009,1.082,0.009,0.0055,0.9965,0.976
"backupJAX00657448",0.0085,0.0035,0.002,1.197,0.014,0.011,1.3265,1.096
"backupJAX00658615",0.0145,0.012,0.016,0.791,0.019,0.0215,1.0845,0.963
"backupJAX00658671",0,0.0045,0.006,1.011,0.002,0.0015,1.038,0.909
"backupJAX00659559",0.922,0.007,0.001,0.975,0.007,0.007,0.9,0.002
"backupJAX00660767",1.1855,0.044,0.033,1.3525,0.031,1.309,0.0345,0.038
"backupJAX00661046",0.0075,1.1685,1.098,0.0155,1.224,0.012,1.1995,1.162
"backupJAX00663303",1.3685,0.169,1.334,0.1705,0.094,1.439,0.1815,0.194
"backupJAX00664871",1.6,0.077,1.397,0.0895,0.084,1.593,1.674,0.069
"backupJAX00667181",0.0145,0.0115,0.012,0.708,0.012,0.0205,0.73,0.7
"backupJAX00673552",1.3425,1.377,1.355,1.535,0.038,0.0275,1.475,0.031
"backupJAX00677224",0.0185,0.0285,0.024,1.3085,1.216,0.02,1.2955,0.023
"backupJAX00677455",0.0115,0.0115,0.008,1.212,0.009,0.0075,1.298,1.063
"backupJAX00677724",0.76,0.007,0.008,0.001,0.575,0.7605,0.0025,0.004
"backupJAX00680373",1.389,1.2935,1.237,0.1135,1.454,1.3125,0.0595,0.049
"backupJAX00682180",1.289,1.446,1.466,0.0785,1.637,1.426,0.0995,0.068
"backupJAX00686383",0.0415,0.0835,0.062,1.095,0.04,1.0615,0.02,1.034
"backupJAX00687795",1.164,1.157,1.104,0.074,0.163,0.099,0.115,1.143
"backupJAX00688299",1.1735,1.1185,1.056,0.0555,1.327,0.047,0.046,1.09
"backupJAX00688681",0.087,0.077,0.065,1.2055,1.401,1.275,1.3485,1.246
"backupJAX00690903",1.099,1.017,1.123,0.0405,0.824,1.0475,0.029,0.036
"backupJAX00698344",0.227,1.2695,0.179,0.2275,1.454,1.2145,0.202,0.202
"backupJAX00703369",1.227,0.038,1.321,1.3485,0.017,1.344,1.3995,0.037
"backupJAX00704927",0,1.478,1.354,0.0075,1.8,0.0045,0.0095,0
"backupJAX00706351",0.154,0.1295,0.128,1.788,0.097,1.7505,1.827,0.125
"backupJAX00706842",0.0245,0.024,1.283,0.027,0.94,1.2465,0.018,0.023
"backupJAX00707425",0.0095,0.0375,1.01,1.1165,0.03,1.0265,0.0465,0.036
"backupJAX00708075",0.9285,1.036,0.964,0.0485,1.068,1.0425,0.045,0.04
"backupJAX00708995",1.005,0.014,0.016,0.0095,0.007,0.9985,0.0175,0.908
"backupJAX00709270",0.4525,0.471,0.277,0.0115,0.55,0.415,0.009,0.008
"backupJAX00709954",0.013,0.014,0.011,1.0135,0.015,0.0105,1.018,0.964
"backupJAX00710201",1.3225,1.2295,1.099,0.0935,1.383,1.2225,0.043,0.062
"backupJAX00710313",0.8525,0.8245,0.68,0.0205,0.905,0.8455,0.0175,0.013
"backupJAX00710383",0.875,0.868,0.766,0.0315,0.827,0.8715,0.029,0.025
"backupJAX00712427",1.1175,1.151,1.036,0.0065,1.309,1.1575,0.008,0
"backupJAX00713355",1.318,1.272,1.107,0.0535,1.55,1.2845,0.0375,0.023
"backupJAX00715624",0.9625,0.9885,0.827,0.0225,1.18,0.9865,0.02,0.012
"backupJAX00718095",0.7095,0.0025,0.589,0.6935,0.637,0.6995,5e-04,0.004
"backupJAX00718691",0.026,0.2795,0.016,0.346,0.02,0.022,0.322,0.016
"backupJAX00718738",0.67,0.621,0.562,0.019,0.587,0.6755,0.0095,0.012
"backupJAX00721933",1.026,1.0295,0.89,0.0225,0.018,1.027,0.017,0.017
"backupJAX00722044",0.4425,0.413,0.36,1.38,1.549,0.414,1.4235,0.378
"backupJAX00722366",0.0255,0.024,0.013,0.8955,0.022,0.0225,0.929,0.776
"backupJAX00722521",0.026,0.0305,0.018,0.9395,0.048,0.0135,0.8885,0.781
"backupJAX00723531",0.0315,1.074,0.02,0.01,0.037,1.099,1.1495,1.002
"backuprs16820550",1.2515,0.0375,0.03,0.042,1.232,1.3105,0.036,1.264
"backuprs27256987",1.0175,1.001,0.964,0.0035,0.955,5e-04,0.0035,0.006
"backuprs27328830",1.3285,1.437,1.326,0.1285,1.773,1.3605,0.1065,0.1
"backuprs29099122",0.6245,0.0465,0.554,0.693,0.655,0.6415,0.044,0.035
"backuprs29183816",0.013,0.4545,0.576,0.684,0.227,0.016,0.012,0.591
"backuprs29195375",0.96,0.05,0.842,0.0345,0.062,0.045,0.304,0.89
"backuprs29925749",0.917,0.03,0.028,0.8515,0.03,0.009,0.817,0.861
"backuprs29972631",0.0205,0.017,1.345,1.447,0.012,1.483,1.5555,0.014
"backuprs30253046",1.3035,0.533,1.307,0.5385,1.539,1.376,0.5,1.312
"backuprs30509458",0.0265,1.059,0.971,0.026,1.134,1.0205,1.1385,0.033
"backuprs30953439",0.1175,0.106,0,0.0065,0.006,0.115,0,0
"backuprs31336023",0.016,0.014,0.019,0.0265,0.017,1.0525,1.0945,0.986
"backuprs31415664",1.314,1.2105,1.216,0.0295,0.02,1.2855,0.035,1.28
"backuprs31437340",0.83,0.0035,0.87,0.7585,0.006,0.803,0.0075,0.012
"backuprs31583247",0.082,1.211,1.097,0.078,0.103,1.1895,0.0715,0.058
"backuprs31693227",1.6525,0.053,1.524,0.0585,1.752,1.657,1.654,0.046
"backuprs31941857",1.211,1.2165,0.126,0.113,0.125,0.128,0.096,1.238
"backuprs32282252",0.1275,0.116,1.35,1.464,0.097,1.393,0.126,1.385
"backuprs32388304",1.0715,0.0185,1.125,0.0265,1.109,1.092,1.1505,0.028
"backuprs32565732",1.2545,1.306,1.188,0.078,0.099,1.301,0.077,1.222
"backuprs33042623",0.955,0.0195,0.933,0.072,0.025,1.057,1.065,0.051
"backuprs33542876",0.0335,0.824,0.031,0.821,0.725,0.033,0.809,0.821
"backuprs37146576",0.0435,0.0055,0.009,0.0095,0.01,0.0275,0.0345,0.001
"backuprs4161828",0.0235,1.1025,1.107,0.0295,1.192,1.1395,0.0245,1.139
"backuprs45761882",0,0.726,0.007,0.0085,0.569,0.0025,0.677,0.735
"backuprs45901886",0.094,0.1015,0.028,0.042,0.067,0.097,0.0425,0.091
"backuprs45995944",0.001,0.8515,0.812,0.013,0.842,0.867,0.0145,0.004
"backuprs46052492",1.1005,1.021,0.322,0.154,0.92,0.211,0.12,0.268
"backuprs46062280",0.013,0.552,0.634,0.01,0.368,0.009,0.014,0.618
"backuprs46471250",0.0295,0.0315,0.026,1.512,0.033,0.0285,1.4905,1.097
"backuprs46488659",1.176,0.019,0.018,1.118,0.024,1.212,1.3355,1.154
"backuprs46609137",1.221,0.019,1.282,0.01,0.02,1.2855,0.0085,0.014
"backuprs46732648",0.059,0.028,0.029,0.0265,0.023,0.043,0.031,0.049
"backuprs46889959",1.0845,0.0365,1.182,0.026,0.017,1.249,0.0195,1.174
"backuprs47468865",0.929,0.904,0.924,0,0.005,0.9175,0.8905,0.004
"backuprs47476405",0.684,0.6625,0.002,0.653,0,0.004,0,0
"backuprs47501977",1.1635,0.0095,0.016,0.026,1.266,1.208,0.018,1.119
"backuprs47520660",0.0275,0.009,0.796,0.01,0.02,0.8645,0.0405,0.006
"backuprs47631660",0.029,0.7895,0.701,0.809,0.861,0.7815,0.0335,0.029
"backuprs47957684",0.053,1.433,0.04,0.0505,0.042,0.0485,1.555,1.411
"backuprs48022698",0.0035,0.667,0.001,0.611,0.009,0.004,0.6475,0.001
"backuprs48139205",0.002,0.009,0.009,0.0245,0.005,0.008,0.014,0.023
"backuprs48296073",0.0545,1.184,1.138,1.246,0.033,0.0315,1.1295,0.039
"backuprs48596023",1.047,0.018,1.028,0.0125,0.01,0.0185,0.021,1.046
"backuprs48932702",0.036,0.03,0.023,0.9685,0.021,0.0315,0.992,0.972
"backuprs49133949",1.4985,0.0145,0.009,1.7685,1.809,1.432,0.0305,1.37
"backuprs49375588",0.14,0.1325,1.119,1.199,0.111,1.09,1.191,1.119
"backuprs49379040",0.8145,5e-04,0.83,0.002,0,0.8365,0.0015,0.847
"backuprs49428768",1.4755,1.4725,0.252,0.327,1.767,1.456,0.2665,0.222
"backuprs49751772",0.0485,0.934,0.932,0.0225,0.876,0.039,0.9005,0.035
"backuprs49992467",1.46,0.0525,1.45,0.0795,0.077,0.0505,0.0565,1.381
"backuprs50045468",1.0875,0.187,0.994,0.0385,0.174,0.1825,0.027,0.937
"backuprs50197071",1.13,0.0125,0.021,0.037,1.286,1.2215,0.028,1.139
"backuprs50251226",0.036,1.055,0.041,0.0355,0.04,1.007,1.0685,0.038
"backuprs50455283",0.069,0.0395,1.26,0.045,0.036,0.077,1.3055,0.018
"backuprs50526017",1.064,1.0545,0.154,0.104,0.175,0.0285,0.062,1.029
"backuprs50592964",0.005,0.004,0.653,0.5995,0.497,0.628,0.0035,0.007
"backuprs50781556",0.9415,0.062,0.047,0.9555,0.038,0.0475,1.048,0.038
"backuprs50998329",1.1405,1.081,1.11,0.0255,0.031,0.024,0.016,0.018
"backuprs51224163",0.0285,0.0275,1.178,0.0105,1.025,1.204,0.0095,0.026
"backuprs51462341",0.036,0.0415,1.258,0.0335,1.536,0.032,0.0635,1.337
"backuprs51918679",1.336,1.3345,1.25,0.0425,1.451,1.318,0.0305,0.03
"backuprs51962291",0.0755,1.539,0.055,1.749,0.082,0.0805,0.0885,1.516
"backuprs52283297",1.462,1.4615,0.011,1.5345,1.571,1.5015,0.0155,0.015
"backuprs52500819",0.036,0.0345,1.255,1.3965,0.025,1.2505,0.045,1.286
"backuprs6294371",0.8635,0.8445,0.774,0.0225,0.83,0.797,0.0205,0.014
"backupUNC010029391",1.2355,1.237,0.256,0.225,1.317,1.22,0.2315,1.214
"backupUNC010039427",1.072,0.039,0.044,0.931,0.016,0.044,0.9185,1.056
"backupUNC010044640",0.105,0.6095,0.601,0.09,0.21,0.6605,0.081,0.059
"backupUNC010059535",0.685,0.746,0.015,0.796,0.578,0.8955,0.024,0.029
"backupUNC010060568",1.249,1.1905,0.078,0.0965,1.2,0.0765,0.086,1.107
"backupUNC010060795",0.3435,1.047,0.948,0.384,1.101,0.333,0.3435,0.306
"backupUNC010061308",0.332,0.3235,0.027,0.303,0.212,0.245,0.0285,0.032
"backupUNC010062452",1.0005,0.078,0.089,0.9575,0.094,0.0695,0.4115,0.055
"backupUNC010066723",0.8415,0.0375,0.018,0.0445,0.748,0.035,0.034,0.848
"backupUNC010074862",0.035,1.1265,1.096,0.0415,0.06,0.022,1.1995,0.055
"backupUNC010086952",0.905,0.8955,0.059,0.841,0.023,0.047,0.8385,0.013
"backupUNC010089879",0.0155,0.0685,0.88,0.018,0.871,0.926,0.071,0.009
"backupUNC010101265",0.6605,0.037,0.029,0.641,0.395,0.6185,0.077,0.028
"backupUNC010132013",0.2585,0.213,0.015,0.014,0.066,0.1995,0.022,0.312
"backupUNC010158882",0.128,0.1115,0.007,0.0095,0.014,0.0175,0.089,0.098
"backupUNC010171549",1.3695,1.483,0.028,0.0415,1.587,1.4865,0.0395,0.026
"backupUNC010175313",1.2455,0.2985,0.26,0.267,1.537,1.261,0.2745,0.275
"backupUNC010176060",1.41,1.4735,0.306,0.382,0.418,1.4105,0.3685,1.368
"backupUNC010178188",2.4595,2.4375,2.269,2.53,2.921,2.3975,2.4665,2.209
"backupUNC010185117",0.1125,1.115,1.085,0.103,0.145,1.1225,0.0985,0.095
"backupUNC010194594",0.1785,0.2675,0.217,0.194,0.194,0.2285,0.136,0.212
"backupUNC010197325",0.3495,0.0755,0.054,0.0755,0.258,0.062,0.3905,0.055
"backupUNC010204314",1.2175,0.059,0.06,0.788,1.172,0.0585,1.2465,0.053
"backupUNC010206009",0.8565,0.859,0.114,1.1,0.15,0.855,1.119,0.957
"backupUNC010207769",1.264,0.057,0.043,0.2295,0.052,0.0575,0.061,1.231
"backupUNC010210288",0,0,1.114,0.001,0.892,0,0.0045,1.104
"backupUNC010228438",0.8575,0.83,0.003,0.8295,0.637,0.844,0.0415,0.049
"backupUNC010236642",0.039,1.276,1.222,0.022,1.446,1.2645,0.0485,0.038
"backupUNC010244211",0.011,1.0575,1.061,0.0135,1.091,0.0105,0.014,0.009
"backupUNC010248154",0.0015,0.004,0.872,0.011,0.654,0.0035,0.832,0.879
"backupUNC010301903",0.033,1.167,1.143,1.1675,1.099,0.04,1.1135,0.036
"backupUNC010312588",1.306,0.0075,0.011,0.011,0.003,1.238,1.234,1.212
"backupUNC010318876",5e-04,0.695,0.634,0.006,0.606,0.0055,0.0025,0.722
"backupUNC010324477",0.664,0.644,0.57,0.701,0.758,0.6765,0.636,0.578
"backupUNC010326580",0.0265,1.3515,1.215,0.0295,1.532,0.021,0.0285,1.338
"backupUNC010333562",0.992,1.0045,0.011,0.0075,1.08,1.0315,0.005,1.001
"backupUNC010343297",0.0515,1.2355,1.132,1.3255,1.326,0.049,0.049,1.193
"backupUNC010358913",1.2095,1.3065,0.001,0.0025,1.318,0.0095,1.33,1.295
"backupUNC010370373",1.1775,1.0865,0.019,1.2035,1.242,1.1415,0.016,0.013
"backupUNC010397300",0.028,1.027,0.945,0.0185,0.023,1.0415,0.032,0.969
"backupUNC010403815",0.7685,0.031,0.861,0.042,0.752,0.035,0.8565,0.027
"backupUNC010408998",0.1575,0.19,0.155,0.0085,0.101,0.004,0.0095,0.005
"backupUNC010412660",0.009,0.0155,0.426,0.013,0.024,0.4355,0.0105,0.436
"backupUNC010527629",0.0445,1.292,0.034,0.06,1.395,1.378,0.058,1.295
"backupUNC010532073",0.056,1.2965,0.078,1.3035,1.342,1.203,0.061,1.291
"backupUNC010539556",0.1035,0.518,0.092,0.013,0.071,0.465,0.346,0.324
"backupUNC010548191",0.0455,0.154,0.026,0.474,0.124,0.139,0.5585,0.033
"backupUNC010557791",0.0285,1.083,0.027,1.238,1.303,0.0155,1.276,0.012
"backupUNC010568212",1.1645,0.164,1.167,0.0775,1.212,1.1865,1.1845,0.149
"backupUNC010570475",1.211,0.2575,1.184,0.294,0.205,1.2705,0.0805,1.181
"backupUNC010586755",1.1575,0.1865,1.141,0.075,1.367,0.188,0.093,1.132
"backupUNC010591240",0.2825,0.884,0.091,0.9505,0.319,0.896,0.339,0.088
"backupUNC010608551",0.0035,0.215,0.001,0.001,0.146,0.2045,0.003,0.197
"backupUNC010611519",0.0235,0.61,0.018,0.4095,0.016,0.0175,0.63,0.52
"backupUNC010618201",0.0155,0.476,0.02,0.0185,0.353,0.025,0.018,0.494
"backupUNC010623723",0.779,0.0145,0.827,0.0255,0.009,0.8065,0.022,0.844
"backupUNC010628673",1.125,0.013,1.09,0.0115,0.007,1.1195,0.0125,1.145
"backupUNC010629680",0.6425,0.002,0.64,0.0055,0,0,0.0145,0.006
"backupUNC010646654",1.296,0.1405,1.285,1.422,1.495,0.1315,0.1455,1.296
"backupUNC010665455",0.42,0.001,0.364,0.0045,0.432,0.004,0.003,0.004
"backupUNC010667738",1.0745,0.0155,0.948,0.015,1.212,0.017,0.0205,1.043
"backupUNC010671431",0.0575,0.9595,0.038,1.1265,0.894,0.168,1.07,0.029
"backupUNC010715008",0.0675,0.386,0.051,0.283,0.248,0.4035,0.3085,0.012
"backupUNC010721415",1.0465,1.021,1.023,1.0935,0.551,0.5735,0.658,1.021
"backupUNC010724016",0.426,0.435,0.368,0.2225,0.471,0.1645,0.0115,0.156
"backupUNC010733471",1.0425,0.9435,0.942,0.167,0.163,0.1145,0.026,0.979
"backupUNC010737916",0.994,0.939,0.884,0.0325,0.051,0.9725,0.037,0.039
"backupUNC010738940",1.1025,1.131,1.097,0.039,1.089,1.131,0.0325,0.04
"backupUNC010739171",1.2505,1.228,1.141,0.032,1.256,1.256,0.0185,0.042
"backupUNC010794120",0.9555,0.8945,0.868,1.039,0.012,0.008,0.005,0.006
"backupUNC010803792",0.0805,0.0735,0.001,0.075,0.823,5e-04,0.917,0.865
"backupUNC010837286",0.7925,0.7385,0.684,0.0185,0.726,0.6975,0.02,0.022
"backupUNC010861440",0.107,0.113,0.096,0.114,1.692,1.4,1.5515,0.091
"backupUNC010894728",1.1485,1.178,1.132,0.0375,1.114,0.0325,0.0335,0.025
"backupUNC011181136",0.0745,0.0555,0.047,1.23,0.061,0.0565,1.336,1.198
"backupUNC011221975",1.173,1.1975,1.184,0.0405,1.054,1.2225,0.0675,0.076
"backupUNC011355063",0.6325,0.614,0.628,0.1045,0.138,0.614,0.093,0.063
"backupUNC011478119",0.97,0.819,0.89,0.031,0.795,0.9145,0.0535,0.051
"backupUNC011498669",0.8205,0.7375,0.789,0.0275,0.032,0.763,0.028,0.013
"backupUNC011588125",0.876,0.8505,0.875,0.0165,0.693,0.021,0.0225,0.015
"backupUNC011596719",1.166,1.119,1.213,0.1715,1.242,1.1495,0.168,0.175
"backupUNC011792382",1.194,1.2025,1.1,0.111,0.052,1.21,0.0905,0.039
"backupUNC011824780",0.029,0.034,0.022,1.7045,0.028,1.4675,1.773,0.025
"backupUNC011891368",0.297,0.3455,0.333,0.0045,0.186,0.004,0.002,0
"backupUNC011898258",0.005,0.004,0.005,0.635,0.359,0.0085,0.57,0.004
"backupUNC012010690",1.443,1.463,1.387,0.0285,0.04,0.0165,0.0245,0.018
"backupUNC012018069",1.209,1.2855,1.206,0.0295,0.026,1.289,1.3705,0.02
"backupUNC012020959",0.9245,1.058,1.051,0.012,0.954,0.975,0.0115,0.011
"backupUNC012104434",0.0335,0.022,0.032,1.301,0.024,1.1375,0.033,1.086
"backupUNC012208248",0.009,0.0065,0.01,0.008,0.006,1.0485,0.9565,1.049
"backupUNC012255208",0.0975,0.095,0.08,0.1015,1.392,0.092,1.445,1.387
"backupUNC012268343",0.042,0.0545,0.038,0.0485,1.123,1.1155,1.1845,0.039
"backupUNC012316368",0.7805,0.8135,0.791,0.7785,0.024,0.8225,0.0295,0.028
"backupUNC012359359",0.068,0.062,0.029,0.052,0.088,1.0565,0.9065,1.03
"backupUNC020000070",1.025,0.04,0.027,1.1095,0.035,1.041,0.0285,0.006
"backupUNC020005207",0.0165,0.425,0.363,0.011,0.293,0.4025,0.2825,0.017
"backupUNC020008953",0.016,0.883,0.936,0.017,0.736,0.019,0.843,0.912
"backupUNC020013428",0.0585,0.071,1.525,0.0735,1.798,0.1025,0.106,1.458
"backupUNC020014032",0.004,0.0035,0.861,0.0095,1.008,0.9425,0.933,0.009
